Hotel; Chef; CodePostal; Url
 Hotel & Restaurant Thierry Drapeau ; Thierry Drapeau; 85260 ;https://www.relaischateaux.com/us/france/thierrydrapeau-vendee-saint-sulpice-le-verdon
 Flocons de Sel ; Emmanuel Renaut; 74120 ;https://www.relaischateaux.com/us/france/flocons-haute-savoie-megeve
 Grand Hôtel de Cala Rossa & Spa ; Pascal Cayeux; 20137 20137 ;https://www.relaischateaux.com/us/france/calarossa-corse-porto-vecchio
 Hotel Ile de la Lagune Thalasso & Spa ; Christophe Schmitt; 66750 ;https://www.relaischateaux.com/us/france/ile-de-la-lagune-saint-cyprien
 Hostellerie La Briqueterie ; Thomas Debouzy; 51530 ;https://www.relaischateaux.com/us/france/briqueterie-marne-vinay
 Château de Noizay ; Frédéric Collin; 37210 ;https://www.relaischateaux.com/us/france/noizay-indre-et-loire-noizay
 Le Phébus & Spa - Villa des Anges ; Xavier Mathieu; 84220 84220 ;https://www.relaischateaux.com/us/france/phebus-vaucluse-gordes
 Hôtel Les Barmes de l'Ours ; Antoine Gras; 73150 ;https://www.relaischateaux.com/us/france/barmes-de-l-ours-savoie
 Le Grand Cœur & Spa ; Marc Dach; 83980 73550 ;https://www.relaischateaux.com/us/france/grandcoeur-savoie-meribel
 Le Pré Catelan ; Frédéric Anton; 75016 ;https://www.relaischateaux.com/us/france/catelan-paris
 Hôtel Restaurant Auberge du Père Bise – Jean Sulpice ; Jean Sulpice; 74290 ;https://www.relaischateaux.com/us/france/bise-haute-savoie-talloires
 La Côte Saint Jacques & Spa ; Jean-Michel Lorain; 89300 ;https://www.relaischateaux.com/us/france/la-cote-saint-jacques-yonne-joigny
 La Villa Calvi ; Jerome Voltzenlogel; 20260 ;https://www.relaischateaux.com/us/france/lavilla-haute-corse-calvi
 Hôtel de la Plage ; Yoann Noël; 29550 ;https://www.relaischateaux.com/us/france/laplage-finistere-sainte-anne-la-palud
 Le Saint-James Bouliac ; Nicolas Magie; 33270 33270 ;https://www.relaischateaux.com/us/france/stjames-gironde-bouliac
 Restaurant Alexandre ; Michel Kayser; 30128 ;https://www.relaischateaux.com/us/france/alexandre-gard-garons
